Time,break,Start/Stop,TimeStamp,break,Left,break,Right,Duration
,,,12:36:59,,  43.69,,  52.12,9.125
,,,12:37:00,,  44.60,,  51.14,10.122
,,,12:37:01,,  45.37,,  51.96,11.12
,,,12:37:02,,  45.84,,  50.54,12.101
,,,12:37:03,,  45.91,,  49.82,13.114
,,,12:37:04,,  45.32,,  50.16,14.143
,,,12:37:05,,  45.54,,  49.67,15.109
,,,12:37:06,,  45.96,,  49.36,16.13
,,,12:37:07,,  46.77,,  49.44,17.135
,,,12:37:08,,  46.87,,  48.32,18.115
,,,12:37:09,,  45.31,,  50.47,19.128
,,,12:37:10,,  43.69,,  52.98,20.14
,,,12:37:11,,  43.34,,  52.36,21.122
,,,12:37:12,,  43.76,,  51.55,22.134
,,,12:37:13,,  44.28,,  53.61,23.115
,,,12:37:14,,  41.62,,  58.26,24.127
,,,12:37:15,,  26.54,,  74.99,25.124
12:37:15,*****,Sensor Made,*****
12:37:15,*****,Sensor Broken,*****
,,,12:37:15,,  43.77,,  58.72,0.048
,,,12:37:17,,  47.05,,  53.73,1.101
12:37:17,*****,Sensor Made,*****
12:37:17,*****,Sensor Broken,*****
,,,12:37:17,,  47.05,,  53.73,0.016
,,,12:37:17,,  47.05,,  53.73,0.032
,,,12:37:18,,  51.66,,  50.28,1.085
12:37:19,*****,Sensor Made,*****
12:37:19,*****,Sensor Broken,*****
,,,12:37:19,,  51.66,,  50.28,0.049
12:37:19,*****,Sensor Made,*****
12:37:19,*****,Sensor Broken,*****
,,,12:37:19,,  51.66,,  50.28,0.032
12:37:19,*****,Sensor Made,*****
12:37:20,*****,Sensor Broken,*****
,,,12:37:20,,  52.63,,  48.56,0.033
12:37:20,*****,Sensor Made,*****
12:37:21,*****,Sensor Broken,*****
,,,12:37:21,,  52.63,,  48.56,0.017
,,,12:37:21,,  52.63,,  48.56,0.032
,,,12:37:22,,  48.28,,  52.70,1.093
12:37:22,*****,Sensor Made,*****
12:37:22,*****,Sensor Broken,*****
,,,12:37:23,,  48.28,,  52.70,0.017
,,,12:37:23,,  48.28,,  52.70,0.032
12:37:23,*****,Sensor Made,*****
12:37:23,*****,Sensor Broken,*****
,,,12:37:23,,  48.28,,  52.70,0.017
,,,12:37:23,,  48.28,,  52.70,0.032
,,,12:37:24,,  53.18,,  48.50,1.084
,,,12:37:25,,  53.69,,  47.45,2.09
,,,12:37:26,,  46.49,,  53.14,3.095
,,,12:37:27,,  47.94,,  50.51,4.084
,,,12:37:28,,  46.01,,  52.16,5.089
,,,12:37:29,,  43.55,,  53.97,6.094
12:37:30,*****,Sensor Made,*****
12:37:30,*****,Sensor Broken,*****
,,,12:37:30,,  43.55,,  53.97,0.016
,,,12:37:30,,  43.55,,  53.97,0.032
12:37:31,*****,Sensor Made,*****
12:37:31,*****,Sensor Broken,*****
,,,12:37:31,,  43.00,,  52.77,0.033
12:37:31,*****,Sensor Made,*****
12:37:31,*****,Sensor Broken,*****
12:37:31,*****,Sensor Made,*****
12:37:31,*****,Sensor Broken,*****
,,,12:37:31,,  43.60,,  52.16,0.032
12:37:31,*****,Sensor Made,*****
12:37:32,*****,Sensor Broken,*****
,,,12:37:32,,  43.60,,  52.16,0.033
,,,12:37:33,,  43.58,,  50.69,1.086
,,,12:37:34,,  48.40,,  51.06,2.098
12:37:34,*****,Sensor Made,*****
12:37:36,*****,Sensor Broken,*****
,,,12:37:36,,  48.40,,  51.06,0.032
,,,12:37:37,,  58.07,,  43.63,1.085
12:37:38,*****,Sensor Made,*****
12:37:38,*****,Sensor Broken,*****
,,,12:37:38,,  50.88,,  50.70,0.049
,,,12:37:39,,  53.37,,  48.34,1.102
,,,12:37:40,,  53.11,,  50.62,2.107
,,,12:37:41,,  45.21,,  56.62,3.112
,,,12:37:42,,  47.61,,  54.08,4.101
12:37:42,*****,Sensor Made,*****
12:37:44,*****,Sensor Broken,*****
,,,12:37:44,,  55.31,,  48.37,0.032
,,,12:37:46,,  54.20,,  48.09,1.093
,,,12:37:47,,  60.93,,  34.26,2.106
12:37:47,*****,Sensor Made,*****
12:37:48,*****,Sensor Broken,*****
,,,12:37:48,,  60.93,,  34.26,0.049
,,,12:37:49,,  47.59,,  50.35,1.1
,,,12:37:50,,  52.69,,  45.59,2.106
,,,12:37:51,,  52.27,,  45.14,3.111
12:37:51,*****,Sensor Made,*****
12:37:52,*****,Sensor Broken,*****
,,,12:37:52,,  48.07,,  46.86,0.032
12:37:52,*****,Sensor Made,*****
12:37:53,*****,Sensor Broken,*****
,,,12:37:53,,  43.86,,  52.66,0.033
12:37:53,*****,Sensor Made,*****
12:37:54,*****,Sensor Broken,*****
,,,12:37:54,,  33.83,,  54.70,0.033
12:37:54,*****,Sensor Made,*****
12:37:54,*****,Sensor Broken,*****
12:37:54,*****,Sensor Made,*****
12:37:54,*****,Sensor Broken,*****
,,,12:37:54,,  33.83,,  33.83,0.032
12:37:54,*****,Sensor Made,*****
12:37:54,*****,Sensor Broken,*****
,,,12:37:54,,  33.83,,  54.70,0.049
,,,12:37:55,,  53.97,,  37.44,1.101
,,,12:37:57,,  75.76,,   0.07,2.107
,,,12:37:58,,  71.27,,   0.77,3.136
,,,12:37:59,,  61.60,,  28.54,4.102
,,,12:38:00,,  58.72,,  39.13,5.115
,,,12:38:00,,  57.62,,  40.07,6.097
12:38:01,*****,Sensor Made,*****
12:38:01,*****,Sensor Broken,*****
,,,12:38:01,,  56.61,,  47.93,0.031
12:38:02,*****,Sensor Made,*****
12:38:02,*****,Sensor Broken,*****
,,,12:38:02,,  57.10,,  48.31,0.032
,,,12:38:03,,  58.17,,  36.44,1.086
,,,12:38:04,,  56.60,,  45.48,2.091
,,,12:38:05,,  56.58,,  45.13,3.096
,,,12:38:06,,  57.55,,  37.30,4.085
,,,12:38:07,,  53.70,,  49.17,5.09
12:38:07,*****,Sensor Made,*****
12:38:10,*****,Sensor Broken,*****
,,,12:38:10,,  75.99,,  25.99,0.048
,,,12:38:11,,  65.36,,  30.80,1.085
12:38:12,*****,Sensor Made,*****
12:38:12,*****,Sensor Broken,*****
12:38:12,*****,Sensor Made,*****
12:38:12,*****,Sensor Broken,*****
,,,12:38:12,,  56.32,,6.32,0.033
,,,12:38:13,,  56.09,,  38.53,1.101
12:38:14,*****,Sensor Made,*****
12:40:12,*****,Sensor Broken,*****
,,,12:40:12,,  50.07,,  52.79,0.048
,,,12:40:13,,  58.90,,  43.79,1.1
,,,12:40:14,,  39.18,,  61.58,2.113
